Symbol,Name,Date,Close,Volume,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance,Mkt_RF,SMB,HML,RMW,CMA
AAPL,Apple Inc.,2010-12-17,9.62,386929200,1.06,55.02,142.08,6.69,13.2,18.67,67.11,18.56,56.92,0.1,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.4285714285714286,0.0,1.0,0.8571428571428572,0.6142857142857143,92.86,STRONG_BUY,HIGH,61.42857142857143,1,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
AMZN,Amazon.com Inc.,2010-12-17,8.88,90146000,1.1,6.43,94.92,12.14,17.37,44.9,39.93,29.89,44.89,0.13,0.14,-0.02,Consumer Cyclical,Internet Retail,0.1428571428571429,0.4285714285714286,0.4285714285714286,0.8571428571428571,0.2857142857142857,0.4714285714285714,57.14,NEUTRAL,MEDIUM,47.14285714285714,0,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
GOOGL,Alphabet Inc.,2010-12-17,14.67,123360516,1.0,9.57,85.37,1.24,16.24,20.93,-0.53,21.77,55.99,0.02,-0.01,0.03,Communication Services,Internet Content & Information,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.4428571428571429,35.71,SELL,MEDIUM,44.28571428571429,0,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
MSFT,Microsoft Corporation,2010-12-17,21.28,87456500,0.89,9.75,158.2,9.11,10.39,8.75,-3.78,18.95,84.91,0.41,0.3,0.11,Technology,Software - Infrastructure,0.5714285714285714,0.4285714285714286,0.1428571428571429,0.2857142857142857,0.7142857142857143,0.4428571428571429,35.71,SELL,MEDIUM,44.28571428571429,0,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
NVDA,NVIDIA Corporation,2010-12-17,0.33,593156000,1.41,36.33,8.01,11.22,34.17,19.65,-14.62,33.77,59.23,0.01,0.01,-0.0,Technology,Semiconductors,0.0,0.4285714285714286,0.7142857142857143,0.14285714285714285,0.1428571428571429,0.2285714285714286,14.29,STRONG_SELL,HIGH,22.857142857142858,1,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
TSLA,Tesla Inc.,2010-12-17,2.09,12195000,0.8,20.36,6.95,6.34,48.91,0.0,0.0,79.63,39.93,0.05,0.09,-0.04,Consumer Cyclical,Auto Manufacturers,0.7142857142857143,0.4285714285714286,0.8571428571428572,0.5714285714285714,0.0,0.48571428571428577,71.43,BUY,MEDIUM,48.57142857142858,0,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
UNH,UnitedHealth Group Inc.,2010-12-17,27.68,18279900,0.77,3.16,25.07,-0.47,0.67,13.31,11.49,22.06,36.93,-0.08,0.09,-0.18,Healthcare,Healthcare Plans,0.8571428571428572,0.4285714285714286,0.5714285714285714,0.7142857142857143,0.4285714285714286,0.6142857142857143,92.86,STRONG_BUY,HIGH,61.42857142857143,1,0.0015,0.0014000000000000002,-0.0012,-0.0033,0.0025
AAPL,Apple Inc.,2010-12-20,9.66,385610400,1.06,55.02,142.79,4.47,13.55,17.66,64.87,18.57,74.15,0.1,0.11,-0.0,Technology,Consumer Electronics,0.2857142857142857,0.3571428571428571,0.0,1.0,0.8571428571428572,0.6000000000000001,92.86,STRONG_BUY,HIGH,60.00000000000001,1,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
AMZN,Amazon.com Inc.,2010-12-20,9.16,174706000,1.1,6.43,97.97,11.65,21.6,49.86,42.66,31.06,69.42,0.15,0.15,0.0,Consumer Cyclical,Internet Retail,0.1428571428571429,0.3571428571428571,0.1428571428571429,0.8571428571428571,0.2857142857142857,0.4285714285714286,42.86,NEUTRAL,MEDIUM,42.85714285714286,0,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
GOOGL,Alphabet Inc.,2010-12-20,14.78,78853068,1.0,9.57,85.99,-0.25,15.89,22.38,-0.23,21.91,89.05,0.03,-0.0,0.03,Communication Services,Internet Content & Information,0.4285714285714286,0.3571428571428571,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,28.57,SELL,MEDIUM,42.857142857142854,0,0.0023,0.0005,0.003,-0.0028000000000000004,0.002
