Strategy,CAGR (%) (mean±std),Sharpe Ratio (mean±std),MDD (%) (mean±std),Total Return (%) (mean±std)
Benchmark,6.35 ± 0.00,0.25 ± 0.00,22.47 ± 0.00,27.35 ± 0.00
DDPG_Annual,-2.62 ± 3.68,-0.19 ± 0.15,37.58 ± 4.30,-9.31 ± 13.86
DDPG_Monthly,-4.82 ± 5.06,-0.28 ± 0.20,35.68 ± 6.69,-16.59 ± 16.77
DDPG_Quarterly,-0.53 ± 4.87,-0.11 ± 0.21,32.69 ± 2.08,-0.95 ± 20.20
DDPG_Semiannual,-6.90 ± 4.62,-0.35 ± 0.18,35.35 ± 4.34,-23.61 ± 15.45
HYBRID_Annual,5.95 ± 6.76,0.22 ± 0.34,24.65 ± 3.24,27.84 ± 31.27
HYBRID_Monthly,5.50 ± 4.56,0.18 ± 0.22,27.10 ± 5.90,24.46 ± 20.05
HYBRID_Quarterly,9.09 ± 2.86,0.34 ± 0.12,25.27 ± 4.13,41.22 ± 14.76
HYBRID_Semiannual,2.96 ± 7.12,0.08 ± 0.32,26.02 ± 6.07,14.50 ± 27.90
TGNN_Annual,8.38 ± 5.33,0.31 ± 0.25,25.52 ± 1.71,38.73 ± 27.01
TGNN_Monthly,4.57 ± 1.43,0.13 ± 0.08,26.38 ± 7.29,19.29 ± 6.50
TGNN_Quarterly,3.54 ± 2.13,0.08 ± 0.10,24.29 ± 2.87,14.87 ± 9.36
TGNN_Semiannual,5.00 ± 3.21,0.16 ± 0.17,24.92 ± 1.61,21.63 ± 14.11
