Strategy,CAGR (%) Mean,CAGR (%) Std,CAGR (%) (mean±std),Sharpe Ratio Mean,Sharpe Ratio Std,Sharpe Ratio (mean±std),MDD (%) Mean,MDD (%) Std,MDD (%) (mean±std),Total Return (%) Mean,Total Return (%) Std,Total Return (%) (mean±std)
Benchmark,6.3485,0.0,6.35 ± 0.00,0.248,0.0,0.25 ± 0.00,22.4651,0.0,22.47 ± 0.00,27.355,0.0,27.35 ± 0.00
DDPG_Annual,-2.6233,3.6845,-2.62 ± 3.68,-0.1893,0.1502,-0.19 ± 0.15,37.5785,4.3029,37.58 ± 4.30,-9.3146,13.8599,-9.31 ± 13.86
DDPG_Monthly,-4.8225,5.0602,-4.82 ± 5.06,-0.278,0.2005,-0.28 ± 0.20,35.6787,6.6883,35.68 ± 6.69,-16.5904,16.7672,-16.59 ± 16.77
DDPG_Quarterly,-0.5297,4.8712,-0.53 ± 4.87,-0.1065,0.2058,-0.11 ± 0.21,32.6902,2.0837,32.69 ± 2.08,-0.9516,20.203,-0.95 ± 20.20
DDPG_Semiannual,-6.8978,4.6191,-6.90 ± 4.62,-0.3511,0.178,-0.35 ± 0.18,35.3457,4.3423,35.35 ± 4.34,-23.6082,15.4502,-23.61 ± 15.45
HYBRID_Annual,5.9539,6.7567,5.95 ± 6.76,0.2197,0.3411,0.22 ± 0.34,24.6538,3.2366,24.65 ± 3.24,27.8423,31.2674,27.84 ± 31.27
HYBRID_Monthly,5.5022,4.5646,5.50 ± 4.56,0.18,0.2176,0.18 ± 0.22,27.0985,5.9016,27.10 ± 5.90,24.4607,20.0516,24.46 ± 20.05
HYBRID_Quarterly,9.0948,2.8577,9.09 ± 2.86,0.3444,0.1209,0.34 ± 0.12,25.2652,4.129,25.27 ± 4.13,41.2196,14.7554,41.22 ± 14.76
HYBRID_Semiannual,2.9589,7.1165,2.96 ± 7.12,0.0801,0.3241,0.08 ± 0.32,26.02,6.0713,26.02 ± 6.07,14.5031,27.8999,14.50 ± 27.90
TGNN_Annual,8.3814,5.3338,8.38 ± 5.33,0.3064,0.2468,0.31 ± 0.25,25.5187,1.7056,25.52 ± 1.71,38.7294,27.0057,38.73 ± 27.01
TGNN_Monthly,4.5699,1.4309,4.57 ± 1.43,0.1341,0.08,0.13 ± 0.08,26.3788,7.2895,26.38 ± 7.29,19.2934,6.5029,19.29 ± 6.50
TGNN_Quarterly,3.5399,2.1313,3.54 ± 2.13,0.0775,0.1035,0.08 ± 0.10,24.2908,2.8661,24.29 ± 2.87,14.8685,9.36,14.87 ± 9.36
TGNN_Semiannual,4.9966,3.2117,5.00 ± 3.21,0.1565,0.1731,0.16 ± 0.17,24.9158,1.608,24.92 ± 1.61,21.6264,14.1121,21.63 ± 14.11
