Strategy,Model,CAGR (%),Sharpe Ratio,MDD (%),Total Return (%)
DDPG_Annual,DDPG,10.411208553078533,0.4162133477546924,24.406651731359,47.563954717928446
HYBRID_Annual,HYBRID,9.284188271096806,0.3565657742714891,25.15303269016882,41.73438649754415
HYBRID_Semiannual,HYBRID,8.60550673678302,0.3333503341566722,27.05126642061349,38.3077572461916
DDPG_Quarterly,DDPG,8.454306839670389,0.3140647231694388,30.76442592105665,37.55284687330287
TGNN_Semiannual,TGNN,8.376121832290394,0.3507599456560166,22.073849946117225,37.163692028584805
HYBRID_Quarterly,HYBRID,8.066325765820071,0.3081827464146645,25.83284774413976,35.629789285362136
DDPG_Monthly,DDPG,7.582957755464004,0.280796135010503,27.586831648215156,33.26206197858828
Benchmark,Benchmark,6.34849177144825,0.2479784780557721,22.46513037401647,27.354988065931902
DDPG_Semiannual,DDPG,6.231440332657812,0.2058227905485533,26.09033398733246,26.80519908120973
HYBRID_Monthly,HYBRID,5.900690556802868,0.197953229112888,27.05921377530112,25.261233221929057
TGNN_Quarterly,TGNN,4.363142014341026,0.1291721700147519,21.173751843738312,18.26705618525244
TGNN_Monthly,TGNN,3.2354171987219127,0.0621855893916889,25.350542005294532,13.325358944448396
TGNN_Annual,TGNN,2.6493929853315112,0.0341144828931751,25.979144154887237,10.81903695243267
