Strategy,Model,CAGR (%),Sharpe Ratio,MDD (%),Total Return (%)
HYBRID_Monthly,Hybrid,27.89,0.86,39.01,162.83
DDPG_Annual,DDPG,11.48,0.42,24.54,53.23
DDPG_Quarterly,DDPG,11.35,0.43,25.82,52.58
DDPG_Monthly,DDPG,10.0,0.35,36.5,45.42
DDPG_Semiannual,DDPG,7.48,0.25,25.81,32.74
TGNN_Quarterly,TGNN,5.99,0.22,22.11,25.69
Benchmark,Benchmark,5.89,0.22,21.51,25.2
TGNN_Monthly,TGNN,5.06,0.16,25.67,21.42
HYBRID_Quarterly,Hybrid,4.45,0.08,47.91,18.66
TGNN_Semiannual,TGNN,0.77,-0.06,25.38,3.06
TGNN_Annual,TGNN,0.02,-0.1,24.66,0.06
HYBRID_Semiannual,Hybrid,-0.89,-0.09,54.99,-3.46
HYBRID_Annual,Hybrid,-3.13,-0.17,57.45,-11.76
