Symbol,Name,Date,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance
AAPL,Apple Inc.,2015-11-27,1.11,55.49,4110.34,3.29,4.78,-9.99,0.69,25.67,42.04,0.16,0.18,-0.02,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-11-27,1.37,6.64,2455.22,10.19,29.88,56.06,101.83,32.68,55.94,1.12,1.21,-0.09,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-11-27,1.08,10.1,3917.54,5.34,15.57,39.28,40.94,27.18,55.24,0.83,0.89,-0.06,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2015-11-27,1.27,8.26,1603.61,1.69,17.52,30.91,35.85,26.11,45.01,1.68,2.22,-0.55,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.375,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2015-11-27,1.06,9.77,3545.55,1.12,23.68,14.79,16.02,26.62,44.62,1.01,1.22,-0.21,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.375,-0.5,-0.3,0.625,NEUTRAL,MEDIUM,4,0
NVDA,NVIDIA Corporation,2015-11-27,2.27,36.35,4321.92,10.79,39.24,44.88,52.54,32.79,49.54,0.03,0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.875,-0.575,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2015-11-27,1.87,17.43,1394.85,10.11,-4.68,-6.39,-6.77,40.66,49.41,0.01,-0.13,0.14,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2015-11-27,0.43,3.09,295.56,-4.21,-2.49,-3.46,18.38,24.27,49.04,-0.95,-1.05,0.09,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.5,-0.125,-6.94E-18,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2015-11-30,1.11,55.49,4110.34,-0.58,4.87,-8.39,1.17,25.63,44.44,0.16,0.17,-0.01,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2015-11-30,1.37,6.64,2455.22,6.22,28.34,54.88,96.31,32.66,53.83,1.05,1.18,-0.13,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.75,-0.25,0.75,BUY,MEDIUM,3,1
GOOGL,Alphabet Inc.,2015-11-30,1.08,10.1,3917.54,3.45,15.64,39.89,38.93,27.16,53.99,0.77,0.87,-0.1,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.625,-0.325,0.5,NEUTRAL,MEDIUM,5,0
