date,portfolio_value,period_return,cumulative_return,drawdown,turnover,transaction_cost,benchmark_return,excess_return,active_stocks,weight_ABNB,weight_AMGN,weight_BKR,weight_CCEP,weight_GOOGL,weight_LIN,weight_PYPL
2021-12-31,10010981.626473367,0.15981626473367214,0.10981626473367534,0.0,0.5,5000.0,0.12539335207215377,0.03442291266151837,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-01-31,10013751.441264061,0.027667764201760314,0.1375144126406047,0.0,0.0,0.0,-0.012376014841720462,0.040043779043480776,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-02-28,10026859.585856237,0.1309014375787228,0.26859585856235935,0.0,0.0,0.0,0.07811523651305054,0.052786201065672264,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-03-31,10027012.282050487,0.0015228715725243147,0.27012282050487,0.0,0.0,0.0,-0.028541812074503736,0.03006468364702805,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-04-30,10026178.373124052,-0.008316624164581315,0.261783731240528,-0.008316624164583987,0.0,0.0,-0.04154274931975774,0.03322612515517642,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-05-31,10015546.214676237,-0.10604397859424353,0.15546214676236403,-0.11435178347966632,0.0,0.0,-0.14877222092556103,0.0427282423313175,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-06-30,10005261.759701567,-0.10268491357564928,0.05261759701566948,-0.21691927502528185,0.0,0.0,-0.11864187355552401,0.01595695997987473,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-07-31,9989716.234292587,-0.1553735002875328,-0.10283765707412851,-0.3719557402424213,0.0,0.0,-0.16558960718767982,0.010216106900147015,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-08-31,9968629.421173621,-0.2110852062702179,-0.31370578826378503,-0.582255802971118,0.0,0.0,-0.23222046877656663,0.02113526250634873,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
2022-09-30,9957173.625393137,-0.1149184636771679,-0.4282637460686245,-0.6965051472248479,0.0,0.0,-0.1452001008604254,0.030281637183257493,7,0.0,0.2,0.2,0.0,0.2,0.2,0.2
