Date,Strategy,Type,ABNB,AMGN,BKR,CCEP,GOOGL,LIN,PYPL,Alpha
2021-12-31,1/N Buy & Hold,Init,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,
2021-12-31,Hybrid_monthly,Rebalance,0.1264,0.15,0.15,0.15,0.1451,0.15,0.1285,0.2
2022-01-31,Hybrid_monthly,Rebalance,0.1264,0.15,0.15,0.15,0.1449,0.15,0.1286,0.2
2022-02-28,Hybrid_monthly,Rebalance,0.1218,0.15,0.15,0.15,0.1401,0.15,0.1381,0.2
2022-03-31,Hybrid_monthly,Rebalance,0.1326,0.15,0.15,0.1454,0.134,0.138,0.15,0.2
2022-04-30,Hybrid_monthly,Rebalance,0.1289,0.15,0.15,0.1412,0.1339,0.1459,0.15,0.2
2022-05-31,Hybrid_monthly,Rebalance,0.1317,0.15,0.15,0.1414,0.1342,0.1427,0.15,0.2
2022-06-30,Hybrid_monthly,Rebalance,0.1305,0.15,0.15,0.1407,0.1339,0.1449,0.15,0.2
2022-07-31,Hybrid_monthly,Rebalance,0.1317,0.15,0.15,0.1406,0.1341,0.1436,0.15,0.2
2022-08-31,Hybrid_monthly,Rebalance,0.1306,0.15,0.15,0.1406,0.1339,0.1449,0.15,0.2
2022-09-30,Hybrid_monthly,Rebalance,0.1208,0.15,0.15,0.1494,0.1375,0.15,0.1422,0.2
2022-10-31,Hybrid_monthly,Rebalance,0.1246,0.15,0.15,0.15,0.144,0.15,0.1315,0.2
2022-11-30,Hybrid_monthly,Rebalance,0.147,0.15,0.15,0.15,0.15,0.15,0.103,0.2
2022-12-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-01-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-02-28,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-03-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-04-30,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-05-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-06-30,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.2
2023-07-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.1497,0.1003,0.2
2023-08-31,Hybrid_monthly,Rebalance,0.149,0.15,0.15,0.15,0.15,0.1457,0.1053,0.208
2023-09-30,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.15,0.1,0.214
2023-10-31,Hybrid_monthly,Rebalance,0.15,0.15,0.15,0.15,0.15,0.1454,0.1046,0.218
2023-11-30,Hybrid_monthly,Rebalance,0.1402,0.15,0.15,0.15,0.1421,0.1349,0.1327,0.266
2023-12-31,Hybrid_monthly,Rebalance,0.1447,0.15,0.15,0.15,0.1494,0.1396,0.1164,0.26
2024-01-31,Hybrid_monthly,Rebalance,0.1423,0.15,0.15,0.15,0.1443,0.1341,0.1293,0.27
2024-02-29,Hybrid_monthly,Rebalance,0.1379,0.15,0.15,0.15,0.139,0.1304,0.1427,0.312
2024-03-31,Hybrid_monthly,Rebalance,0.137,0.15,0.15,0.15,0.1403,0.133,0.1397,0.334
2024-04-30,Hybrid_monthly,Rebalance,0.1325,0.15,0.15,0.15,0.1364,0.1312,0.15,0.361
2024-05-31,Hybrid_monthly,Rebalance,0.1316,0.15,0.15,0.15,0.1368,0.1316,0.15,0.378
2024-06-30,Hybrid_monthly,Rebalance,0.1322,0.15,0.15,0.1495,0.1364,0.132,0.15,0.34
